image_id,source,bbox_count,stratify_group,fold
00333207f,arvalis_1,55,arvalis_1_2,1
005b0d8bb,usask_1,20,usask_1_1,4
006a994f7,inrae_1,25,inrae_1_1,2
00764ad5d,inrae_1,41,inrae_1_2,4
00b5fefed,arvalis_3,25,arvalis_3_1,0
00b70a919,arvalis_3,7,arvalis_3_0,3
00e903abe,arvalis_1,40,arvalis_1_2,2
00ea5e5ee,arvalis_1,55,arvalis_1_2,2
010b216d4,usask_1,36,usask_1_1,4
010c93b99,inrae_1,16,inrae_1_0,0
010dbcc8f,rres_1,49,rres_1_2,4
0114c88aa,arvalis_2,21,arvalis_2_1,1
01189a3c3,arvalis_1,35,arvalis_1_1,4
0126b7d11,arvalis_1,28,arvalis_1_1,4
013669953,arvalis_2,22,arvalis_2_1,3
01397a84c,arvalis_2,19,arvalis_2_0,1
013fd7d80,arvalis_3,47,arvalis_3_2,0
015939012,arvalis_3,52,arvalis_3_2,1
0172359d2,arvalis_1,46,arvalis_1_2,0
019d1c76a,arvalis_3,31,arvalis_3_1,1
01e2c61d9,usask_1,38,usask_1_1,4
01f37f1d3,usask_1,30,usask_1_1,4
025ea7326,inrae_1,13,inrae_1_0,0
02640d9da,ethz_1,65,ethz_1_3,3
026b6f389,ethz_1,95,ethz_1_4,3
027086635,inrae_1,20,inrae_1_1,2
02992044c,arvalis_2,23,arvalis_2_1,1
029c79463,usask_1,48,usask_1_2,0
029e03e52,arvalis_1,54,arvalis_1_2,4
02b6f199c,usask_1,42,usask_1_2,3
02d662fa8,ethz_1,74,ethz_1_3,3
02e02e347,arvalis_1,33,arvalis_1_1,0
02f0fe2ca,inrae_1,17,inrae_1_0,4
02fe8c28e,arvalis_3,60,arvalis_3_3,1
030314634,arvalis_2,21,arvalis_2_1,0
03173a1a5,arvalis_1,26,arvalis_1_1,3
031ed396f,arvalis_2,15,arvalis_2_0,3
034090252,arvalis_3,44,arvalis_3_2,2
03448724b,arvalis_2,27,arvalis_2_1,3
0352a6fff,arvalis_1,30,arvalis_1_1,4
035bdc07a,ethz_1,71,ethz_1_3,0
036cbd683,ethz_1,86,ethz_1_4,3
037024e13,arvalis_1,43,arvalis_1_2,3
037d96952,rres_1,34,rres_1_1,4
038432e90,ethz_1,77,ethz_1_3,3
03a177626,rres_1,44,rres_1_2,2
03a242bd2,arvalis_1,53,arvalis_1_2,4
03a988adf,rres_1,67,rres_1_3,4
03ad2a35c,arvalis_1,41,arvalis_1_2,2
03cae970d,arvalis_1,37,arvalis_1_1,3
03d831c0d,arvalis_3,22,arvalis_3_1,2
03dd40d7b,inrae_1,19,inrae_1_0,0
041707ba8,ethz_1,89,ethz_1_4,3
04201d2d6,arvalis_1,45,arvalis_1_2,0
0424c00e4,arvalis_1,44,arvalis_1_2,4
0429c9ff6,usask_1,19,usask_1_0,1
0435654cd,usask_1,24,usask_1_1,4
043a957ca,arvalis_1,50,arvalis_1_2,2
044078e70,ethz_1,59,ethz_1_2,2
044097f45,arvalis_1,23,arvalis_1_1,3
045d846eb,arvalis_1,51,arvalis_1_2,3
0478cbc2a,arvalis_3,30,arvalis_3_1,2
04981ca30,ethz_1,65,ethz_1_3,3
04a47965e,arvalis_3,64,arvalis_3_3,1
04b7f3a15,usask_1,29,usask_1_1,1
04f906b5d,rres_1,57,rres_1_2,0
04fe56fd3,ethz_1,61,ethz_1_3,2
05522807e,arvalis_1,41,arvalis_1_2,4
0557047b9,arvalis_3,14,arvalis_3_0,1
0573ed37c,arvalis_2,29,arvalis_2_1,2
058ad1382,arvalis_3,4,arvalis_3_0,1
059125072,arvalis_2,31,arvalis_2_1,0
0594af5a7,usask_1,27,usask_1_1,0
05ac5dc96,ethz_1,69,ethz_1_3,1
05c6591ee,inrae_1,14,inrae_1_0,4
05cd43275,arvalis_1,36,arvalis_1_1,2
05dfa9bb1,usask_1,31,usask_1_1,2
05e946e1f,inrae_1,30,inrae_1_1,3
